,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
673,135205,0,Female,"{'Male': 0.012604173146759101, 'Female': 0.9873958268532409}",20-29,"{'0-2': 0.0001310424545767103, '3-9': 0.0006900701501507373, '10-19': 0.030494183131906737, '20-29': 0.5539862874728877, '30-39': 0.3539757433784872, '40-49': 0.057435362552897266, '50-59': 0.002890735876146106, '60-69': 0.00039088755037018126, 'more than 70': 5.687432577485984e-06}",Up to 50,"{'Over 50': 0.003287310859093773, 'Up to 50': 0.9967126891409063}",Up to 50
674,135410,0,Female,"{'Male': 0.005797360622883385, 'Female': 0.9942026393771166}",20-29,"{'0-2': 0.0003889256814509403, '3-9': 0.0005565906835438967, '10-19': 0.05303773121072282, '20-29': 0.7119201634159936, '30-39': 0.21758198298613293, '40-49': 0.015838943476545037, '50-59': 0.000561635248551341, '60-69': 9.568525925708407e-05, 'more than 70': 1.8342037802282228e-05}",Up to 50,"{'Over 50': 0.0006756625456107073, 'Up to 50': 0.9993243374543893}",Up to 50
675,135415,0,Female,"{'Male': 0.004214515078369452, 'Female': 0.9957854849216305}",20-29,"{'0-2': 8.558185663839075e-05, '3-9': 0.00046482998319104577, '10-19': 0.03414000324692514, '20-29': 0.7540406686709006, '30-39': 0.2018285109249791, '40-49': 0.009181167963220997, '50-59': 0.00023114543081961009, '60-69': 2.3851965131773823e-05, 'more than 70': 4.239958193588612e-06}",Up to 50,"{'Over 50': 0.0002592373541449725, 'Up to 50': 0.9997407626458552}",Up to 50
676,135420,0,Female,"{'Male': 0.007664352481565717, 'Female': 0.9923356475184343}",20-29,"{'0-2': 0.0006923136575094744, '3-9': 0.0011286687778616173, '10-19': 0.08362047309743034, '20-29': 0.7378048198825825, '30-39': 0.16790128985515154, '40-49': 0.008623851234197628, '50-59': 0.00020915696429717952, '60-69': 1.61600267512756e-05, 'more than 70': 3.2665042184086687e-06}",Up to 50,"{'Over 50': 0.0002285834952668638, 'Up to 50': 0.9997714165047331}",Up to 50
677,135425,0,Female,"{'Male': 0.008544249247909197, 'Female': 0.9914557507520908}",20-29,"{'0-2': 0.0008739663906672633, '3-9': 0.0015928506533375263, '10-19': 0.07528781659790311, '20-29': 0.7555445090409618, '30-39': 0.1595817366183166, '40-49': 0.006926641591412758, '50-59': 0.00017922964366124853, '60-69': 1.062011736339004e-05, 'more than 70': 2.6293463761356604e-06}",Up to 50,"{'Over 50': 0.0001924791074007742, 'Up to 50': 0.999807520892599}",Up to 50
678,135460,0,Female,"{'Male': 0.009331302905317251, 'Female': 0.9906686970946827}",20-29,"{'0-2': 0.0017117749807600041, '3-9': 0.0018392321227032307, '10-19': 0.03233504517257058, '20-29': 0.7628306076066937, '30-39': 0.18778920856051773, '40-49': 0.012985499235393874, '50-59': 0.0004396469312316154, '60-69': 6.414247072220774e-05, 'more than 70': 4.842919407019854e-06}",Up to 50,"{'Over 50': 0.000508632321360843, 'Up to 50': 0.9994913676786391}",Up to 50
679,135465,0,Female,"{'Male': 0.009955117992872409, 'Female': 0.9900448820071276}",20-29,"{'0-2': 0.004588170831810522, '3-9': 0.003944246034334624, '10-19': 0.05573262287803249, '20-29': 0.7426975788391196, '30-39': 0.1827709028735025, '40-49': 0.009852165418380833, '50-59': 0.00036632264571067593, '60-69': 4.278873474766399e-05, 'more than 70': 5.201744361103067e-06}",Up to 50,"{'Over 50': 0.000414313124819443, 'Up to 50': 0.9995856868751806}",Up to 50
680,135470,0,Female,"{'Male': 0.008713046779071587, 'Female': 0.9912869532209284}",20-29,"{'0-2': 0.0012671770464005973, '3-9': 0.001026993429769379, '10-19': 0.025692080264820647, '20-29': 0.7472092379729894, '30-39': 0.21149378722243475, '40-49': 0.012887901101805228, '50-59': 0.00038357455992240317, '60-69': 3.410727015772042e-05, 'more than 70': 5.141131699886458e-06}",Up to 50,"{'Over 50': 0.00042282296178001007, 'Up to 50': 0.99957717703822}",Up to 50
681,135475,0,Female,"{'Male': 0.011075808071936755, 'Female': 0.9889241919280632}",20-29,"{'0-2': 0.0005112202754567267, '3-9': 0.0007270113573228897, '10-19': 0.02754840436203907, '20-29': 0.6522690902832861, '30-39': 0.29619418126255787, '40-49': 0.021823740969173624, '50-59': 0.0008066840263395767, '60-69': 0.00010486326310931991, 'more than 70': 1.4804200714664072e-05}",Up to 50,"{'Over 50': 0.0009263514901635606, 'Up to 50': 0.9990736485098363}",Up to 50
682,135670,0,Male,"{'Male': 0.9931623333808448, 'Female': 0.006837666619155186}",30-39,"{'0-2': 9.324816161995918e-06, '3-9': 0.0003567895151043192, '10-19': 0.001011720228084441, '20-29': 0.1076437544569967, '30-39': 0.6289521593613246, '40-49': 0.2000778584219715, '50-59': 0.05622545902998874, '60-69': 0.005704025226784415, 'more than 70': 1.8908943583330817e-05}",Up to 50,"{'Over 50': 0.06194839320035648, 'Up to 50': 0.9380516067996436}",Up to 50
