,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
1054,48205,0,Male,"{'Male': 0.9741361906075301, 'Female': 0.025863809392469874}",10-19,"{'0-2': 0.0005490446964756834, '3-9': 0.21759426751608973, '10-19': 0.6485808921415734, '20-29': 0.11166979353419922, '30-39': 0.019491832057880677, '40-49': 0.0019370614219013736, '50-59': 0.0001679408721142632, '60-69': 9.138551862193121e-06, 'more than 70': 2.9207903344948455e-08}",Up to 50,"{'Over 50': 0.0001771086318798013, 'Up to 50': 0.9998228913681202}",Up to 50
1055,48210,0,Male,"{'Male': 0.9743612523632831, 'Female': 0.02563874763671691}",10-19,"{'0-2': 0.0007539178788848803, '3-9': 0.1360636297949089, '10-19': 0.6621304982323876, '20-29': 0.158664204931477, '30-39': 0.037038099742860306, '40-49': 0.004833778188086661, '50-59': 0.00045689415652968126, '60-69': 5.8815165671652475e-05, 'more than 70': 1.6190919337125757e-07}",Up to 50,"{'Over 50': 0.0005158712313947049, 'Up to 50': 0.9994841287686053}",Up to 50
1056,48215,0,Male,"{'Male': 0.9794650071686826, 'Female': 0.020534992831317458}",10-19,"{'0-2': 0.00036286369063059834, '3-9': 0.25861219762443854, '10-19': 0.6933387831952161, '20-29': 0.03920469082064037, '30-39': 0.007615634009575871, '40-49': 0.0007807699475069214, '50-59': 7.77833242560735e-05, '60-69': 7.243806375699968e-06, 'more than 70': 3.3581359818424694e-08}",Up to 50,"{'Over 50': 8.50607119915919e-05, 'Up to 50': 0.9999149392880085}",Up to 50
1057,48225,0,Male,"{'Male': 0.9639651099725959, 'Female': 0.03603489002740416}",10-19,"{'0-2': 0.002779635972724386, '3-9': 0.44289262520855927, '10-19': 0.5315830010932812, '20-29': 0.018622369549367458, '30-39': 0.0036609411125305634, '40-49': 0.00043388800612186685, '50-59': 2.6288153796663013e-05, '60-69': 1.243364737506632e-06, 'more than 70': 7.538881020540174e-09}",Up to 50,"{'Over 50': 2.7539057415190185e-05, 'Up to 50': 0.9999724609425847}",Up to 50
1058,48230,0,Male,"{'Male': 0.9698887648710734, 'Female': 0.030111235128926595}",10-19,"{'0-2': 0.001382547685257162, '3-9': 0.41843361936409496, '10-19': 0.5530545812385961, '20-29': 0.02238401433027284, '30-39': 0.004070363911994441, '40-49': 0.0006452602465273332, '50-59': 2.6752684387920292e-05, '60-69': 2.8499893313111306e-06, 'more than 70': 1.0549538034554777e-08}",Up to 50,"{'Over 50': 2.961322325726598e-05, 'Up to 50': 0.9999703867767428}",Up to 50
1059,48235,0,Male,"{'Male': 0.9663239775514303, 'Female': 0.033676022448569674}",10-19,"{'0-2': 0.0019383086544001635, '3-9': 0.2720126556526298, '10-19': 0.6628467873306263, '20-29': 0.04995034648386665, '30-39': 0.011991035943872994, '40-49': 0.0011786256898299833, '50-59': 7.903163664209337e-05, '60-69': 3.193250843370036e-06, 'more than 70': 1.5357288619700407e-08}",Up to 50,"{'Over 50': 8.224024477408311e-05, 'Up to 50': 0.9999177597552258}",Up to 50
1060,48245,0,Male,"{'Male': 0.9733628550159663, 'Female': 0.026637144984033644}",10-19,"{'0-2': 0.0004059281212510683, '3-9': 0.20133920001347244, '10-19': 0.722419192409546, '20-29': 0.06450043172369373, '30-39': 0.010184709270419786, '40-49': 0.0010919101745789472, '50-59': 5.3260506524718756e-05, '60-69': 5.340992639927953e-06, 'more than 70': 2.678787345386653e-08}",Up to 50,"{'Over 50': 5.862828703810057e-05, 'Up to 50': 0.999941371712962}",Up to 50
1061,48255,0,Male,"{'Male': 0.9767151120106359, 'Female': 0.023284887989364067}",10-19,"{'0-2': 0.0003724312352408912, '3-9': 0.246198854460696, '10-19': 0.7133641374239641, '20-29': 0.03466634010231122, '30-39': 0.0048437855348467404, '40-49': 0.0005244624030067009, '50-59': 2.6588597323761742e-05, '60-69': 3.38187467847254e-06, 'more than 70': 1.836793202756415e-08}",Up to 50,"{'Over 50': 2.9988839934261843e-05, 'Up to 50': 0.9999700111600657}",Up to 50
1062,48260,0,Male,"{'Male': 0.967271362864542, 'Female': 0.03272863713545804}",10-19,"{'0-2': 0.0009363570417596516, '3-9': 0.21843904552256435, '10-19': 0.7408577862147313, '20-29': 0.033848707576118235, '30-39': 0.005274994243889692, '40-49': 0.0006117113240945781, '50-59': 2.7273751731290383e-05, '60-69': 4.10873905500138e-06, 'more than 70': 1.5586055962638e-08}",Up to 50,"{'Over 50': 3.13980768422544e-05, 'Up to 50': 0.9999686019231577}",Up to 50
1063,48355,0,Male,"{'Male': 0.9799208664078168, 'Female': 0.02007913359218318}",10-19,"{'0-2': 0.0006928781072757861, '3-9': 0.2749688551548039, '10-19': 0.6901875801113, '20-29': 0.030422369422124805, '30-39': 0.0035557263507534124, '40-49': 0.00016414244629603104, '50-59': 7.689325142335184e-06, '60-69': 7.552024872603595e-07, 'more than 70': 3.879816466152636e-09}",Up to 50,"{'Over 50': 8.448407446061697e-06, 'Up to 50': 0.9999915515925539}",Up to 50
1064,48360,0,Male,"{'Male': 0.9677968266577404, 'Female': 0.03220317334225966}",10-19,"{'0-2': 0.00027060301401232343, '3-9': 0.07875581411093881, '10-19': 0.744140136019713, '20-29': 0.15462499234040597, '30-39': 0.020441374636308546, '40-49': 0.0017104448641934492, '50-59': 5.1073991112187435e-05, '60-69': 5.537030713101676e-06, 'more than 70': 2.399260258598336e-08}",Up to 50,"{'Over 50': 5.6635014427875096e-05, 'Up to 50': 0.9999433649855721}",Up to 50
1065,48370,0,Male,"{'Male': 0.9786456610765326, 'Female': 0.021354338923467355}",10-19,"{'0-2': 0.0006456040050462738, '3-9': 0.18720811745750165, '10-19': 0.7347041178208448, '20-29': 0.06560375775351383, '30-39': 0.010835240983031676, '40-49': 0.0009691668042678995, '50-59': 3.152332235663167e-05, '60-69': 2.461497391511156e-06, 'more than 70': 1.0356045858916664e-08}",Up to 50,"{'Over 50': 3.399517579400174e-05, 'Up to 50': 0.9999660048242061}",Up to 50
1066,48375,0,Male,"{'Male': 0.9705366483292676, 'Female': 0.02946335167073241}",10-19,"{'0-2': 0.00029068281747594523, '3-9': 0.06547131844739551, '10-19': 0.7449432387981719, '20-29': 0.16902214046859698, '30-39': 0.01835756302025138, '40-49': 0.0016693062637023858, '50-59': 0.00016976807741072553, '60-69': 7.52429606134378e-05, 'more than 70': 7.391463816130833e-07}",Up to 50,"{'Over 50': 0.0002457501844057764, 'Up to 50': 0.9997542498155941}",Up to 50
1067,49180,0,Male,"{'Male': 0.9648952842151418, 'Female': 0.03510471578485818}",50-59,"{'0-2': 0.00015807483864697897, '3-9': 0.0001225667789870816, '10-19': 0.00043508250557476374, '20-29': 0.02214647894189487, '30-39': 0.054594381421246806, '40-49': 0.11197320386293698, '50-59': 0.5377729170497454, '60-69': 0.20583478177077513, 'more than 70': 0.06696251283019197}",Over 50,"{'Over 50': 0.8105702116507124, 'Up to 50': 0.18942978834928748}",Over 50
1068,49185,0,Male,"{'Male': 0.9685372939824208, 'Female': 0.031462706017579126}",50-59,"{'0-2': 3.17502652025425e-05, '3-9': 5.624316837368105e-05, '10-19': 0.00014618886965167357, '20-29': 0.006136468393235007, '30-39': 0.025053963272811137, '40-49': 0.07908174566891485, '50-59': 0.4913334297495788, '60-69': 0.3113919952944172, 'more than 70': 0.08676821531781521}",Over 50,"{'Over 50': 0.8894936403618111, 'Up to 50': 0.11050635963818889}",Over 50
1069,49190,0,Male,"{'Male': 0.9850530734662555, 'Female': 0.014946926533744555}",50-59,"{'0-2': 1.0635452050144903e-05, '3-9': 2.9809387469654904e-05, '10-19': 9.980430900491728e-05, '20-29': 0.006085322357518391, '30-39': 0.022963301597039524, '40-49': 0.10801764521411572, '50-59': 0.53923471255203, '60-69': 0.2034259927472157, 'more than 70': 0.120132776383556}",Over 50,"{'Over 50': 0.8627934816828018, 'Up to 50': 0.13720651831719835}",Over 50
1070,49195,0,Male,"{'Male': 0.9890255204781576, 'Female': 0.010974479521842438}",50-59,"{'0-2': 1.470383266504734e-05, '3-9': 6.533139356930158e-05, '10-19': 9.133289757752576e-05, '20-29': 0.006497556025274396, '30-39': 0.03267253904470008, '40-49': 0.09850338311489554, '50-59': 0.38884218104638474, '60-69': 0.1570121060008238, 'more than 70': 0.31630086664410945}",Over 50,"{'Over 50': 0.8621551536913179, 'Up to 50': 0.13784484630868188}",Over 50
1071,49200,0,Male,"{'Male': 0.9689536470516222, 'Female': 0.031046352948377785}",50-59,"{'0-2': 0.0002312096947515032, '3-9': 0.0006460860326532243, '10-19': 0.001431706683475707, '20-29': 0.07447569141557747, '30-39': 0.1528035936244602, '40-49': 0.19989652805327288, '50-59': 0.2580569466568468, '60-69': 0.2195293223251201, 'more than 70': 0.09292891551384223}",Over 50,"{'Over 50': 0.5705151844958091, 'Up to 50': 0.42948481550419093}",Over 50
1072,49370,0,Male,"{'Male': 0.9902290335868652, 'Female': 0.009770966413134798}",50-59,"{'0-2': 2.5072655234438454e-05, '3-9': 7.29440206219091e-05, '10-19': 0.00023128638841564923, '20-29': 0.01555492166780594, '30-39': 0.061012269875476345, '40-49': 0.18736693806782886, '50-59': 0.39519636905355837, '60-69': 0.2467992654208151, 'more than 70': 0.09374093285024336}",Over 50,"{'Over 50': 0.7357365673246168, 'Up to 50': 0.26426343267538316}",Over 50
1073,49375,0,Male,"{'Male': 0.976695245215899, 'Female': 0.023304754784101024}",60-69,"{'0-2': 0.00029771574171604177, '3-9': 0.00015765053460570604, '10-19': 0.0004059554660857328, '20-29': 0.014076617657825469, '30-39': 0.047922055639270086, '40-49': 0.0748502030066459, '50-59': 0.3569915661383745, '60-69': 0.3808971072447688, 'more than 70': 0.12440112857070795}",Over 50,"{'Over 50': 0.8622898019538513, 'Up to 50': 0.13771019804614892}",Over 50
1074,49380,0,Male,"{'Male': 0.9853486827724562, 'Female': 0.014651317227543767}",50-59,"{'0-2': 0.00034942374167235864, '3-9': 0.00014325971839223908, '10-19': 0.0006609577272410517, '20-29': 0.01793325259646252, '30-39': 0.05794148561094704, '40-49': 0.1013651921032989, '50-59': 0.4328460251451059, '60-69': 0.2559990430651009, 'more than 70': 0.1327613602917791}",Over 50,"{'Over 50': 0.8216064285019858, 'Up to 50': 0.1783935714980141}",Over 50
1075,49385,0,Male,"{'Male': 0.9781959875274692, 'Female': 0.021804012472530884}",50-59,"{'0-2': 0.0001611607620206915, '3-9': 8.37289942287366e-05, '10-19': 0.00046228492373492946, '20-29': 0.017458124956084013, '30-39': 0.07150693204970177, '40-49': 0.17759633428577548, '50-59': 0.4725977341801412, '60-69': 0.17995570450280432, 'more than 70': 0.08017799534550893}",Over 50,"{'Over 50': 0.7327314340284545, 'Up to 50': 0.26726856597154564}",Over 50
1076,49390,0,Male,"{'Male': 0.9821400893283909, 'Female': 0.017859910671609077}",50-59,"{'0-2': 0.0002553017287584033, '3-9': 0.00018760455237360905, '10-19': 0.0006975146140818511, '20-29': 0.024397743812476367, '30-39': 0.09820979390898996, '40-49': 0.22618806789150334, '50-59': 0.32260841404860247, '60-69': 0.25986340110472095, 'more than 70': 0.0675921583384931}",Over 50,"{'Over 50': 0.6500639734918165, 'Up to 50': 0.3499360265081835}",Over 50
