,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
1620,127920,0,Female,"{'Male': 0.018272425846893814, 'Female': 0.9817275741531062}",20-29,"{'0-2': 0.0005614458230735303, '3-9': 0.00027521108824174337, '10-19': 0.01980339980219915, '20-29': 0.482217906176493, '30-39': 0.4395706264794254, '40-49': 0.05147286697785406, '50-59': 0.00356498335190925, '60-69': 0.0024868164331087296, 'more than 70': 4.6743867694933736e-05}",Up to 50,"{'Over 50': 0.006098543652712913, 'Up to 50': 0.9939014563472869}",Up to 50
1621,127925,0,Female,"{'Male': 0.010723149824779066, 'Female': 0.9892768501752209}",20-29,"{'0-2': 0.000669002527084265, '3-9': 0.0008226688489700279, '10-19': 0.05190096917753151, '20-29': 0.6713386285493257, '30-39': 0.24556622380956766, '40-49': 0.027089122900907123, '50-59': 0.0012462580117015827, '60-69': 0.0013404666407966484, 'more than 70': 2.6659534115507936e-05}",Up to 50,"{'Over 50': 0.002613384186613739, 'Up to 50': 0.9973866158133864}",Up to 50
1622,127930,0,Female,"{'Male': 0.018949417879956076, 'Female': 0.9810505821200439}",20-29,"{'0-2': 0.000456789969004883, '3-9': 0.0008077372480308166, '10-19': 0.07184859407863267, '20-29': 0.6766048570680553, '30-39': 0.22802882037889757, '40-49': 0.01970960025566542, '50-59': 0.0014483067254478245, '60-69': 0.0010702683504227692, 'more than 70': 2.5025925842829003e-05}",Up to 50,"{'Over 50': 0.002543601001713423, 'Up to 50': 0.9974563989982866}",Up to 50
1623,127960,0,Male,"{'Male': 0.9665772469875811, 'Female': 0.03342275301241891}",30-39,"{'0-2': 5.543387038865872e-05, '3-9': 8.114377473601086e-05, '10-19': 0.0016715659629679524, '20-29': 0.060918768282957135, '30-39': 0.6052556528708154, '40-49': 0.29549855447858037, '50-59': 0.030463298487099, '60-69': 0.005976754811829192, 'more than 70': 7.882746062635062e-05}",Up to 50,"{'Over 50': 0.03651888075955455, 'Up to 50': 0.9634811192404455}",Up to 50
1624,127965,0,Male,"{'Male': 0.9657296807195384, 'Female': 0.03427031928046168}",40-49,"{'0-2': 3.998030110488034e-05, '3-9': 2.4944173027577943e-05, '10-19': 0.0004280083027252118, '20-29': 0.025035110375734037, '30-39': 0.36638980606220695, '40-49': 0.4658500289186228, '50-59': 0.12197769578865383, '60-69': 0.02000855229315831, 'more than 70': 0.00024587378476658323}",Up to 50,"{'Over 50': 0.14223212186657874, 'Up to 50': 0.8577678781334215}",Up to 50
1625,127970,0,Male,"{'Male': 0.9722792093325664, 'Female': 0.027720790667433624}",40-49,"{'0-2': 0.00026691181884311136, '3-9': 5.220043144548617e-05, '10-19': 0.0005891059455081303, '20-29': 0.030594337679516633, '30-39': 0.4048319971039511, '40-49': 0.442765516144998, '50-59': 0.10537989241339009, '60-69': 0.015230136482012116, 'more than 70': 0.00028990198033528736}",Up to 50,"{'Over 50': 0.1208999308757375, 'Up to 50': 0.8791000691242625}",Up to 50
1626,127975,0,Male,"{'Male': 0.9699974870418051, 'Female': 0.030002512958194873}",40-49,"{'0-2': 0.00011903991779999767, '3-9': 2.338247624113388e-05, '10-19': 0.0003648503418874128, '20-29': 0.02682108162607525, '30-39': 0.3485297315668319, '40-49': 0.4483519544618424, '50-59': 0.1510120814069631, '60-69': 0.023800737928522393, 'more than 70': 0.000977140273836278}",Up to 50,"{'Over 50': 0.17578995960932176, 'Up to 50': 0.8242100403906781}",Up to 50
1627,128000,0,Male,"{'Male': 0.9536516582453687, 'Female': 0.04634834175463137}",30-39,"{'0-2': 7.104841491623955e-05, '3-9': 0.00013833023406582804, '10-19': 0.0021415106648952444, '20-29': 0.0804972288366607, '30-39': 0.6202866007441721, '40-49': 0.265457413051443, '50-59': 0.027671469981684592, '60-69': 0.0036602855709924873, 'more than 70': 7.611250116982141e-05}",Up to 50,"{'Over 50': 0.031407868053846905, 'Up to 50': 0.9685921319461531}",Up to 50
1628,128085,0,Male,"{'Male': 0.9928273273166249, 'Female': 0.007172672683375102}",20-29,"{'0-2': 9.55311403643915e-07, '3-9': 0.00045622387240421176, '10-19': 0.01791269116052521, '20-29': 0.619922628943809, '30-39': 0.34937711294990936, '40-49': 0.01205115096065921, '50-59': 0.00026067837071360594, '60-69': 1.8552468010190543e-05, 'more than 70': 5.962565563490242e-09}",Up to 50,"{'Over 50': 0.00027923680128935993, 'Up to 50': 0.9997207631987106}",Up to 50
1629,128090,0,Male,"{'Male': 0.9907978694386148, 'Female': 0.009202130561385184}",20-29,"{'0-2': 1.0960093718234191e-06, '3-9': 0.00042649123423182185, '10-19': 0.014711554961411964, '20-29': 0.6400992504368549, '30-39': 0.33547924162958914, '40-49': 0.009085655873971808, '50-59': 0.00018565515931312447, '60-69': 1.105027658975942e-05, 'more than 70': 4.4186656361905355e-09}",Up to 50,"{'Over 50': 0.00019670985456852008, 'Up to 50': 0.9998032901454315}",Up to 50
